year,female_parent,male_parent
2021,W10004_0046,PHK76
2021,W10004_0061,PHK76
2021,W10004_0112,PHK76
2021,W10004_0687,PHK76
2021,W10004_1018,PHK76
2021,W10004_0115,PHK76
2021,W10004_0969,PHK76
2021,W10004_0907,PHK76
2021,W10004_0783,PHK76
2021,W10004_0868,PHK76
2021,W10004_0741,PHK76
2021,W10004_0395,PHK76
2021,W10004_0715,PHK76
2021,W10004_0712,PHK76
2021,W10004_0427,PHK76
2021,B37,H95
2021,W10004_0848,PHK76
2021,W10004_0820,PHK76
2021,W10004_0037,PHK76
2021,W10004_0299,PHK76
2021,W10004_0389,PHK76
2021,W10004_0843,PHK76
2021,W10004_0869,PHK76
2021,W10004_0122,PHK76
2021,W10004_0819,PHK76
2021,W10004_0691,PHK76
2021,B14A,OH43
2021,W10004_0063,PHK76
2021,W10004_0169,PHK76
2021,W10004_0997,PHK76
2021,W10004_0935,PHK76
2021,W10004_0847,PHK76
2021,W10004_0649,PHK76
2021,W10004_0310,PHK76
2021,B73,TX779
2021,W10004_0362,PHK76
2021,B14A,H95
2021,W10004_0711,PHK76
2021,W10004_0199,PHK76
2021,W10004_0771,PHK76
2021,W10004_0658,PHK76
2021,W10004_0616,PHK76
2021,W10004_0932,PHK76
2021,W10004_0393,PHK76
2021,W10004_0815,PHK76
2021,W10004_0639,PHK76
2021,W10004_0625,PHK76
2021,REDEAR,LH195
2021,W10004_0779,PHK76
2021,W10004_0702,PHK76
2021,W10004_0840,PHK76
2021,W10004_0178,PHK76
2021,W10004_0140,PHK76
2021,W10004_0129,PHK76
2021,W10004_0836,PHK76
2021,W10004_0695,PHK76
2021,W10004_0675,PHK76
2021,W10004_0203,PHK76
2021,W10004_0717,PHK76
2021,W10004_0121,PHK76
2021,W10004_0760,PHK76
2021,B14A,MO17
2021,W10004_0651,PHK76
2021,W10004_0086,PHK76
2021,LH74,PHN82
2021,W10004_0624,PHK76
2021,W10004_0792,PHK76
2021,W10004_0631,PHK76
2021,W10004_0707,PHK76
2021,W10004_0011,PHK76
2021,W10004_0079,PHK76
2021,W10004_0053,PHK76
2021,W10004_0806,PHK76
2021,W10004_0197,PHK76
2021,W10004_0601,PHK76
2021,W10004_0996,PHK76
2021,W10004_0144,PHK76
2021,W10004_0896,PHK76
2021,W10004_0896,PHK76
2021,W10004_0264,PHK76
2021,W10004_0747,PHK76
2021,W10004_0988,PHK76
2021,W10004_0185,PHK76
2021,2369,LH123HT
2021,W10004_0654,PHK76
2021,W10004_0661,PHK76
2021,W10004_0132,PHK76
2021,PHW52,PHN82
2021,W10004_0045,PHK76
2021,W10004_0795,PHK76
2021,W10004_0166,PHK76
2021,W10004_0069,PHK76
2021,W10004_0773,PHK76
2021,W10004_0802,PHK76
2021,W10004_0236,PHK76
2021,W10004_0116,PHK76
2021,W10004_0487,PHK76
2021,CG119,CG108
2021,W10004_0505,PHK76
2021,W10004_0901,PHK76
2021,W10004_0254,PHK76
2021,W10004_0217,PHK76
2021,W10004_1015,PHK76
2021,W10004_0417,PHK76
2021,W10004_0866,PHK76
2021,W10004_0889,PHK76
2021,B73,PHM49
2021,PHG39,PHN82
2021,W10004_0964,PHK76
2021,W10004_0784,PHK76
2021,W10004_0922,PHK76
2021,W10004_1112,PHK76
2021,W10004_0031,PHK76
2021,W10004_0309,PHK76
2021,W10004_0308,PHK76
2021,W10004_0073,PHK76
2021,W10004_1020,PHK76
2021,W10004_0068,PHK76
2021,W10004_0818,PHK76
2021,W10004_0632,PHK76
2021,W10004_1104,PHK76
2021,W10004_0612,PHK76
2021,W10004_0212,PHK76
2021,W10004_0688,PHK76
2021,W10004_0646,PHK76
2021,W10004_0801,PHK76
2021,W10004_0424,PHK76
2021,W10004_0080,PHK76
2021,W10004_0781,PHK76
2021,W10004_0291,PHK76
2021,W10004_0782,PHK76
2021,W10004_0101,PHK76
2021,B73,MO17
2021,W10004_0076,PHK76
2021,W10004_0822,PHK76
2021,W10004_0501,PHK76
2021,F42,H95
2021,W10004_0714,PHK76
2021,W10004_0826,PHK76
2021,W10004_1140,PHK76
2021,W10004_0110,PHK76
2021,W10004_0034,PHK76
2021,W10004_0007,PHK76
2021,W10004_0956,PHK76
2021,W10004_0938,PHK76
2021,W10004_0814,PHK76
2021,W10004_0241,PHK76
2021,W10004_0465,PHK76
2021,W10004_0262,PHK76
2021,W10004_0984,PHK76
2021,W10004_0148,PHK76
2021,TX773,TX779
2021,W10004_0859,PHK76
2021,W10004_0474,PHK76
2021,W10004_0736,PHK76
2021,W10004_0119,PHK76
2021,W10004_0701,PHK76
2021,W10004_0133,PHK76
2021,W10004_0152,PHK76
2021,W10004_1080,PHK76
2021,W10004_0501,PHK76
2021,W10004_1156,PHK76
2021,W10004_0038,PHK76
2021,W10004_0430,PHK76
2021,W10004_0336,PHK76
2021,W10004_0238,PHK76
2021,W10004_0410,PHK76
2021,W10004_0065,PHK76
2021,W10004_0311,PHK76
2021,W10004_0953,PHK76
2021,LH195,TX779
2021,W10004_0161,PHK76
2021,PHW52,PHM49
2021,W10004_0118,PHK76
2021,W10004_0799,PHK76
2021,W10004_0918,PHK76
2021,W10004_0103,PHK76
2021,W10004_1123,PHK76
2021,W10004_0206,PHK76
2021,W10004_0834,PHK76
2021,W10004_0800,PHK76
2021,W10004_0618,PHK76
2021,W10004_0798,PHK76
2021,CG44,CGR01
2021,W10004_0062,PHK76
2021,W10004_0221,PHK76
2021,W10004_0046,PHK76
2021,W10004_0885,PHK76
2021,W10004_0106,PHK76
2021,W10004_0095,PHK76
2021,W10004_0842,PHK76
2021,W10004_0794,PHK76
2021,W10004_0971,PHK76
2021,W10004_0667,PHK76
2021,W10004_0626,PHK76
2021,W10004_0966,PHK76
2021,W10004_0697,PHK76
2021,F42,OH43
2021,W10004_0419,PHK76
2021,PB80,TX779
2021,B37,OH43
2021,W10004_0204,PHK76
2021,W10004_1014,PHK76
2021,W10004_1004,PHK76
2021,W10004_0097,PHK76
2021,W10004_0837,PHK76
2021,W10004_0745,PHK76
2021,W10004_0213,PHK76
2021,W10004_0894,PHK76
2021,W10004_0705,PHK76
2021,TX777,LH195
2021,W10004_0167,PHK76
2021,W10004_0194,PHK76
2021,W10004_0949,PHK76
2021,LH82,TX779
2021,W10004_0943,PHK76
2021,W10004_0329,PHK76
2021,W10004_0673,PHK76
2021,W10004_0276,PHK76
2021,W10004_0381,PHK76
2021,W10004_0751,PHK76
2021,W10004_0664,PHK76
2021,W10004_1007,PHK76
2021,W10004_1072,PHK76
2021,W10004_1112,PHK76
2021,W10004_0261,PHK76
2021,W10004_1118,PHK76
2021,W10004_0264,PHK76
2021,W10004_0704,PHK76
2021,W10004_0913,PHK76
2021,W10004_0026,PHK76
2021,W10004_1000,PHK76
2021,W10004_0773,PHK76
2021,W10004_0217,PHK76
2021,W10004_0103,PHK76
2021,W10004_0981,PHK76
2021,W10004_0877,PHK76
2021,W10004_0971,PHK76
2021,W10004_0192,PHK76
2021,W10004_0619,PHK76
2021,PHW52,PHN82
2021,LH195,TX779
2021,W10004_0852,PHK76
2021,W10004_0168,PHK76
2021,W10004_0896,PHK76
2021,W10004_0672,PHK76
2021,W10004_0848,PHK76
2021,W10004_0396,PHK76
2021,W10004_0756,PHK76
2021,W10004_0006,PHK76
2021,W10004_0669,PHK76
2021,W10004_0032,PHK76
2021,W10004_0144,PHK76
2021,W10004_0306,PHK76
2021,W10004_0220,PHK76
2021,W10004_0775,PHK76
2021,W10004_0806,PHK76
2021,W10004_0039,PHK76
2021,W10004_0119,PHK76
2021,W10004_0476,PHK76
2021,W10004_0011,PHK76
2021,W10004_0093,PHK76
2021,W10004_0223,PHK76
2021,W10004_0868,PHK76
2021,W10004_1032,PHK76
2021,W10004_0707,PHK76
2021,LH82,TX779
2021,W10004_0776,PHK76
2021,PHG39,PHN82
2021,W10004_0241,PHK76
2021,W10004_0696,PHK76
2021,PHW52,PHM49
2021,W10004_0612,PHK76
2021,W10004_0892,PHK76
2021,W10004_0149,PHK76
2021,W10004_0727,PHK76
2021,W10004_0812,PHK76
2021,W10004_0814,PHK76
2021,W10004_0467,PHK76
2021,W10004_0185,PHK76
2021,B73,PHM49
2021,W10004_0628,PHK76
2021,LH74,PHN82
2021,W10004_0290,PHK76
2021,W10004_0329,PHK76
2021,CG44,CGR01
2021,W10004_0344,PHK76
2021,W10004_0224,PHK76
2021,W10004_0828,PHK76
2021,W10004_1015,PHK76
